id,category,post_text,expected_learn,expected_stay_informed,expected_network
41,tech,"Wrote a blog post on why I migrated from Next.js to Astro for my personal site. TLDR: 90% less JavaScript shipped, same DX, way faster build times.",show,blur,blur
42,gossip,"Can't believe what just happened on that reality show. My jaw is on the floor. If you know you know 😂",hide,hide,hide
43,tech,"PSA: there's a critical vulnerability in the popular npm package 'event-stream'. If you're using it, update immediately. CVE details in the link.",show,show,blur
44,news,"Y Combinator W26 batch is the largest ever — 350 companies. Themes: AI agents, climate tech, and biotech dominate. Full list and analysis here.",show,show,show
45,borderline,"Sometimes I think about how wild it is that we're all just carrying supercomputers in our pockets and mostly using them to argue with strangers.",blur,blur,blur
46,career,"The best career advice I ever got: optimize for learning rate in your 20s, earning rate in your 30s, and impact in your 40s.",blur,blur,show
47,tech,"Built a real-time collaborative code editor using CRDTs instead of OT. Here's the architecture and why CRDTs made conflict resolution trivial. Open source.",show,blur,blur
48,outrage,"Absolutely disgusted by [political party]. How can anyone vote for these people? Unfriend me if you disagree, I don't care.",hide,hide,hide
49,tech,"Anthropic just released a new paper on constitutional AI training. The results on safety benchmarks are impressive without meaningful capability regression.",show,show,blur
50,news,"Global chip shortage easing: TSMC reports record production of 3nm chips. Prices for consumer GPUs expected to drop 15-20% by Q3.",blur,show,blur
51,career,"Reminder: your manager is not your mentor, your friend, or your therapist. They are an agent of the company. Manage accordingly.",blur,blur,show
52,tech,"Found an incredible resource: a visual explanation of how diffusion models work, step by step. Finally understand the math behind Stable Diffusion.",show,blur,blur
53,engagement_bait,"I'm going to give away $1000 to a random person who reposts this and follows me. Drawing in 48 hours! 🎉",hide,hide,hide
54,borderline,"The best code is the code you never write. But also, at some point you have to actually ship something.",blur,blur,blur
55,tech,"Benchmarked SQLite vs PostgreSQL for a read-heavy workload under 10k concurrent users. SQLite won handily up to about 2k concurrent. Detailed results and methodology in the post.",show,blur,blur
56,news,"EU regulators fine Meta €1.2B for GDPR violations related to data transfers. Largest privacy fine ever issued.",blur,show,blur
57,career,"Unpopular opinion: code reviews are more about knowledge sharing than catching bugs. If you're catching lots of bugs in review, your testing is broken.",blur,blur,show
58,gossip,"The tea is HOT today. [Influencer] just exposed [other influencer] for faking their entire lifestyle. Screenshots don't lie.",hide,hide,hide
59,tech,"Migrated our entire CI/CD from Jenkins to GitHub Actions. Took 2 weeks. Build times dropped 40%, config is 10x more readable. Should have done it years ago.",show,blur,blur
60,outrage,"Society is DOOMED. Look at what kids are doing these days. In my day we had respect. Now it's all TikTok and participation trophies.",hide,hide,hide
